Country,City,lon,lat,CountryCode,ContinentName
Syria,Aleppo,37.13426,36.202105,SY,Asia
Belgium,Eeklo,3.56389,51.185272,BE,Europe
DRC,Bukavu,28.848028,-2.512302,CD,Africa
Brazil,Rio,-43.172896,-22.906847,BR,South America
Kenya,Nairobi,36.821946,-1.292066,KE,Africa
South Sudan,,31.306979,6.876992,SS,Africa
Syria,Damascus,36.276528,33.513807,SY,Asia
Germany,Berlin,13.404954,52.520007,DE,Europe
South Sudan,Nasir,33.07046,8.622864,SS,Africa
Kenya,Kakuma,34.856898,3.716764,KE,Africa
South Sudan,Bentiu,29.800503,9.231487,SS,Africa
Luxembourg,Luxembourg City,6.131935,49.611621,LU,Europe
Ethiopia,Addis Abbaba,38.757761,8.980603,,Africa